,Column Labels,,,,,,,,,,,,,,
,Average of delivery_rating,,,,Average of Restaurent_cost,,,,Sum of diner_rating,,,,Total Average of delivery_rating,Total Average of Restaurent_cost,Total Sum of diner_rating
Row Labels,BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",,,
Cake 24x7,3.80,,,,250.00,,,,,,,,3.80,250.00,
Delicious Cake & Bakes,3.00,,,,350.00,,,,3.5,,,,3.00,350.00,3.5
Delikacious,3.30,,,,200.00,,,,,,,,3.30,200.00,
Gagan Bakery And Cakes Shop,,,,,350.00,,,,,,,,,350.00,
Golden Bake & Cakes,3.60,,,,200.00,,,,3.8,,,,3.60,200.00,3.8
Gujarati Namkeen & Bakers,,,,,,,300.00,,,,,,,300.00,
Gujrati Namkeen & Bakers,,,,,,,200.00,,,,,,,200.00,
Gupta Bakery,,,,,200.00,,,,,,,,,200.00,
Hari Pan Bakery,,,,,,,350.00,,,,,,,350.00,
Krishna Cake Shop,4.00,,,,200.00,,,,,,,,4.00,200.00,
Luthra Bakery,4.20,,,,300.00,,,,,,,,4.20,300.00,
Ms Pastry Corner,3.00,,,,250.00,,,,,,,,3.00,250.00,
Murliwala Bakers & Caters,,,,,300.00,,,,,,,,,300.00,
Natkhat Bakers,,,4.00,,,,300.00,,,,,,4.00,300.00,
Polka,,,4.10,,,,400.00,,,,3.9,,4.10,400.00,3.9
Setia Pastry Shop,,,,,200.00,,,,,,,,,200.00,
Shah Bakery,3.20,,,,400.00,,,,,,,,3.20,400.00,
The Baking Bliss,3.70,,,,300.00,,,,,,,,3.70,300.00,
Vaishali,3.87,,3.63,,321.43,,362.50,,7.3,,9.7,,3.77,336.36,17
Amar Bakery,,,3.40,,,,300.00,,,,,,3.40,300.00,
Apni Bakery,3.90,,,,200.00,,,,,,,,3.90,200.00,
Bansal Best Bake,3.10,,,,300.00,,,,,,,,3.10,300.00,
Best 1 Bake,4.10,,,,200.00,,,,,,,,4.10,200.00,
Cup N Cakes,3.90,,,,550.00,,,,,,,,3.90,550.00,
Mohit Sweets & Family Restaurant,,,3.70,,,,350.00,,,,2.9,,3.70,350.00,2.9
Purity Cakes and Bonbons,,,,,200.00,,,,3.6,,,,,200.00,3.6
Shakes 'n' Cakes,,,3.70,,,,400.00,,,,6.8,,3.70,400.00,6.8
The Cake Masters,3.90,,,,500.00,,,,3.7,,,,3.90,500.00,3.7
Unique Pastry Shop,4.30,,,,300.00,,,,,,,,4.30,300.00,
Vasant Kunj,3.88,,,,365.00,,,,,,,,3.88,365.00,
Ashianny's Pastry Shop,4.10,,,,200.00,,,,,,,,4.10,200.00,
Bakeart,,,,,1200.00,,,,,,,,,1200.00,
Cake And The City,3.90,,,,250.00,,,,,,,,3.90,250.00,
Cakes Away,4.00,,,,250.00,,,,,,,,4.00,250.00,
Cakes24x7.Com,3.40,,,,300.00,,,,,,,,3.40,300.00,
Maya Handmade Chocolates,,,,,350.00,,,,,,,,,350.00,
New Cake Palace,3.50,,,,200.00,,,,,,,,3.50,200.00,
Raro,,,,,300.00,,,,,,,,,300.00,
Sweet Tooth,4.40,,,,300.00,,,,,,,,4.40,300.00,
The Cake Designer,,,,,300.00,,,,,,,,,300.00,
Vasundhara,3.97,,3.40,,370.00,,500.00,,11.1,,3.5,,3.89,381.82,14.6
All Time Cake,3.90,,,,250.00,,,,,,,,3.90,250.00,
Cake Any Time,,,3.40,,,,500.00,,,,3.5,,3.40,500.00,3.5
Cake Break,,,,,300.00,,,,,,,,,300.00,
Jain Vista Bakery,4.00,,,,300.00,,,,,,,,4.00,300.00,
Just Bakers,4.00,,,,350.00,,,,,,,,4.00,350.00,
Pasteleria The Bakery,,,,,450.00,,,,7.2,,,,,450.00,7.2
Shagun Cake Point,3.90,,,,400.00,,,,,,,,3.90,400.00,
The Baketreez,3.80,,,,400.00,,,,,,,,3.80,400.00,
The Heaven,4.20,,,,500.00,,,,3.9,,,,4.20,500.00,3.9
Unique Pastry Shop,,,,,300.00,,,,,,,,,300.00,
West Patel Nagar,3.43,,4.00,,294.44,,375.00,,3.2,,3.8,,3.51,309.09,7
Bake O Hollikk,3.30,,,,300.00,,,,3.2,,,,3.30,300.00,3.2
Cake & Pastry,3.20,,,,250.00,,,,,,,,3.20,250.00,
Cake Plaza,3.30,,,,450.00,,,,,,,,3.30,450.00,
Cakes Nd More,3.20,,,,300.00,,,,,,,,3.20,300.00,
Daddy's Fast Food,3.70,,,,200.00,,,,,,,,3.70,200.00,
Keklo,,,,,250.00,,,,,,,,,250.00,
Monginis Cake Shop,,,,,400.00,,,,,,,,,400.00,
Sanjay Pastry Shop,3.90,,,,200.00,,,,,,,,3.90,200.00,
Standard Pastry Shop,,,4.00,,,,300.00,,,,,,4.00,300.00,
The Chef Baker's,,,,,300.00,,,,,,,,,300.00,
The Chocolate And Cake Studio,,,,,,,450.00,,,,3.8,,,450.00,3.8
Grand Total,3.85,3.85,3.96,4.40,303.05,225.00,350.00,150.00,111.1,,83.3,,3.87,311.04,194.4
